Latitude,Longitude,Disaster Type,Country,Region,Start Year,Total Deaths,Total Affected,Total Damage ('000 US$)
-32.93,26.56,Flood,South Africa,Africa,2012,13.0,125000.0,200000.0
42.33,47.59,Flood,Russian Federation,Europe,2012,7.0,1120.0,
17.09,99.64,Flood,Thailand,Asia,2012,,235545.0,
30.1135,78.85,Flood,India,Asia,2012,30.0,1200.0,110000.0
19.1356,-72.28,Storm,Haiti,Americas,2012,13.0,8007.0,
41.245,55.844,Flood,Uzbekistan,Asia,2020,4.0,70060.0,
1.163,36.593,Flood,Kenya,Africa,2020,285.0,810655.0,10000.0
0.013,31.026,Flood,Uganda,Africa,2020,11.0,25000.0,
6.89,-58.66,Flood,Guyana,Americas,2006,,35000.0,169000.0
-9.07,147.28,Flood,Papua New Guinea,Oceania,2006,1.0,12000.0,
1.07,124.66,Flood,Indonesia,Asia,2006,39.0,17539.0,25000.0
-24.53,17.98,Flood,Namibia,Africa,2006,5.0,2100.0,8490.0
42.6,20.83,Flood,Serbia Montenegro,Europe,2006,,1200.0,
4.33,102.54,Flood,Malaysia,Asia,2006,,4906.0,
-4.36,16.17,Flood,Democratic Republic of the Congo,Africa,2006,1.0,5500.0,
17.43,82.81,Flood,India,Asia,2006,20.0,,
35.67,66.83,Flood,Afghanistan,Asia,2006,19.0,5025.0,
-6.16,143.7,Mass movement (wet),Papua New Guinea,Oceania,2006,1.0,300.0,
-3.33,37.22,Flood,United Republic of Tanzania,Africa,2006,,19000.0,
67.93,-99.99,Flood,Canada,Americas,2006,,300.0,
26.6,94.02,Flood,India,Asia,2006,21.0,504000.0,
32.15,-4.05,Flood,Morocco,Africa,2006,6.0,1100.0,
-3.86,29.67,Flood,Burundi,Africa,2006,1.0,5000.0,
45.09,34.62,Flood,Ukraine,Europe,2006,2.0,5000.0,23855.0
25.62,83.67,Flood,Nepal,Asia,2006,,,
33.06,69.95,Flood,Pakistan,Asia,2006,13.0,300.0,
26.39,117.28,Storm,China,Asia,2006,109.0,6531000.0,367000.0
26.39,117.28,Storm,Taiwan (Province of China),Asia,2006,,800.0,
6.94,6.35,Flood,Nigeria,Africa,2006,,2000.0,
21.11,110.11,Storm,Philippines,Asia,2006,6.0,15000.0,135000.0
31.76,-106.39,Flood,Mexico,Americas,2006,,,
31.76,-106.39,Flood,United States of America,Americas,2006,,,100000.0
15.86,120.74,Storm,Philippines,Asia,2006,8.0,476027.0,645.0
9.67,42.19,Flood,Ethiopia,Africa,2006,498.0,10096.0,3200.0
14.42,-1.02,Flood,Mauritania,Africa,2006,,9000.0,
17.76,106.15,Flood,Viet Nam,Asia,2006,42.0,50020.0,8000.0
24.47,-107.04,Storm,Mexico,Americas,2006,4.0,240700.0,2700.0
16.68,107.21,Storm,Viet Nam,Asia,2006,71.0,1467925.0,624000.0
18.76,100.02,Flood,Thailand,Asia,2006,164.0,2212413.0,9940.0
36.86,-94.64,Flood,United States of America,Americas,2007,26.0,2840.0,700000.0
32.89,73.88,Flood,India,Asia,2006,19.0,15000.0,
27.59,81.52,Flood,India,Asia,2006,42.0,100000.0,
3.1,45.44,Flood,Somalia,Africa,2006,5.0,30000.0,
-3.24,40.01,Flood,Kenya,Africa,2006,30.0,30000.0,
36.23,44.81,Flood,Iraq,Asia,2006,20.0,18020.0,
17.02,121.82,Storm,Philippines,Asia,2006,34.0,283021.0,9077.0
24.93,-107.53,Storm,Mexico,Americas,2006,4.0,20000.0,
41.65,-7.87,Flood,Spain,Europe,2006,2.0,289.0,
41.65,-7.87,Flood,Portugal,Europe,2006,3.0,367.0,
-1.79,29.94,Mass movement (wet),Rwanda,Africa,2006,24.0,2000.0,
10.33,106.74,Storm,Viet Nam,Asia,2006,95.0,1226360.0,456000.0
-17.47,35.15,Flood,Mozambique,Africa,2007,29.0,285000.0,71000.0
7.71,125.22,Flood,Philippines,Asia,2007,9.0,24508.0,4080.0
15.1,43.88,Flood,Yemen,Asia,2007,7.0,2000.0,
-10.62,32.59,Flood,Malawi,Africa,2007,,2000.0,
