Country,year,annual_temp,baseline_temp,anomaly,anomaly_smooth
Bangladesh,1850,24.452333333333332,25.187519444444444,-0.735186111111112,-0.7858805555555554
Bangladesh,1851,24.527416666666667,25.187519444444444,-0.6601027777777766,-0.6204039141414137
Bangladesh,1852,24.225166666666667,25.187519444444444,-0.9623527777777774,-0.5894936868686862
Bangladesh,1853,25.063545454545455,25.187519444444444,-0.12397398989898889,-0.5497270202020189
Bangladesh,1854,24.721666666666668,25.187519444444444,-0.46585277777777634,-0.6115270202020191
Bangladesh,1855,24.65116666666667,25.187519444444444,-0.5363527777777755,-0.6652436868686863
Bangladesh,1856,24.218416666666666,25.187519444444444,-0.9691027777777776,-0.770152777777777
Bangladesh,1857,23.95658333333333,25.187519444444444,-1.230936111111113,-0.7927027777777766
Bangladesh,1858,24.539,25.187519444444444,-0.6485194444444424,-0.8559694444444432
Bangladesh,1859,24.60891666666667,25.187519444444444,-0.5786027777777747,-0.8471361111111093
Bangladesh,1860,24.334833333333336,25.187519444444444,-0.8526861111111081,-0.7433194444444424
Bangladesh,1861,24.262583333333335,25.187519444444444,-0.9249361111111085,-0.7902527777777764
Bangladesh,1863,24.475666666666665,25.187519444444444,-0.7118527777777786,-0.77823611111111
Bangladesh,1864,24.304333333333332,25.187519444444444,-0.8831861111111117,-0.6910694444444438
Bangladesh,1865,24.669,25.187519444444444,-0.5185194444444434,-0.5931694444444439
Bangladesh,1866,24.770666666666667,25.187519444444444,-0.41685277777777685,-0.6077694444444439
Bangladesh,1867,24.752083333333335,25.187519444444444,-0.4354361111111089,-0.5907694444444431
Bangladesh,1868,24.402666666666665,25.187519444444444,-0.784852777777779,-0.6322361111111092
Bangladesh,1869,24.389333333333337,25.187519444444444,-0.7981861111111073,-0.651502777777776
Bangladesh,1870,24.46166666666667,25.187519444444444,-0.7258527777777743,-0.6662361111111096
Bangladesh,1871,24.674333333333333,25.187519444444444,-0.5131861111111107,-0.6099527777777759
Bangladesh,1872,24.678416666666667,25.187519444444444,-0.5091027777777768,-0.5925861111111097
Bangladesh,1873,24.684083333333334,25.187519444444444,-0.5034361111111103,-0.5784527777777762
Bangladesh,1874,24.476166666666668,25.187519444444444,-0.7113527777777762,-0.6224527777777759
Bangladesh,1875,24.532333333333337,25.187519444444444,-0.6551861111111066,-0.6755694444444422
Bangladesh,1876,24.454333333333334,25.187519444444444,-0.7331861111111095,-0.5944027777777755
Bangladesh,1877,24.412833333333335,25.187519444444444,-0.7746861111111087,-0.47046944444444205
Bangladesh,1878,25.089916666666667,25.187519444444444,-0.0976027777777766,-0.46538611111110983
Bangladesh,1879,25.095833333333335,25.187519444444444,-0.09168611111110891,-0.44513611111110973
Bangladesh,1880,24.55775,25.187519444444444,-0.6297694444444453,-0.3767194444444428
Bangladesh,1881,24.555583333333335,25.187519444444444,-0.6319361111111093,-0.5313027777777755
Bangladesh,1882,24.75491666666667,25.187519444444444,-0.4326027777777739,-0.716269444444442
Bangladesh,1883,24.317000000000004,25.187519444444444,-0.8705194444444402,-0.7069027777777748
Bangladesh,1884,24.171000000000003,25.187519444444444,-1.016519444444441,-0.6680194444444417
Bangladesh,1885,24.604583333333334,25.187519444444444,-0.5829361111111098,-0.7288527777777759
Bangladesh,1886,24.75,25.187519444444444,-0.4375194444444439,-0.6718527777777765
Bangladesh,1887,24.45075,25.187519444444444,-0.7367694444444446,-0.4689361111111111
Bangladesh,1888,24.602,25.187519444444444,-0.5855194444444436,-0.47916944444444454
Bangladesh,1889,25.18558333333333,25.187519444444444,-0.001936111111113803,-0.5055694444444448
Bangladesh,1890,24.553416666666667,25.187519444444444,-0.6341027777777768,-0.45741944444444443
Bangladesh,1891,24.618,25.187519444444444,-0.5695194444444454,-0.5984861111111115
Bangladesh,1892,24.6915,25.187519444444444,-0.49601944444444257,-0.6814361111111111
Bangladesh,1893,23.896666666666665,25.187519444444444,-1.2908527777777792,-0.6530694444444443
Bangladesh,1894,24.770833333333332,25.187519444444444,-0.41668611111111176,-0.5521861111111107
Bangladesh,1895,24.69525,25.187519444444444,-0.49226944444444243,-0.4520861111111117
Bangladesh,1896,25.122416666666666,25.187519444444444,-0.06510277777777773,-0.25556944444444485
Bangladesh,1897,25.191999999999997,25.187519444444444,0.004480555555552712,-0.28883611111111096
Bangladesh,1898,24.87925,25.187519444444444,-0.30826944444444493,-0.18406944444444448
Bangladesh,1899,24.6045,25.187519444444444,-0.5830194444444423,-0.196852777777778
