Country,Temp_2010,BaselineTemp,Latitude_Abs,Temp_Anomaly_2010,Country_Match,GHG_Total,GHG_Per_Capita,GHG_Per_GDP,PC1,PC2
Afghanistan,15.324765277777777,13.963448937908497,34.56,1.3613163398692798,Afghanistan,27.768531219617,0.96407799191496,0.34465244909469,-0.1418184744308849,-0.47243590658765383
Angola,24.29282638888889,23.18200986873585,8.84,1.1108165201530404,Angola,71.664962622102,3.0666547968429,0.31804857729652,-1.3518985956647358,-0.42523248541096426
Australia,16.044213888888887,14.990926450465244,36.16844369260513,1.0532874384236433,Australia,598.75253711609,27.068256336127,0.51676929626027,1.8622285887997887,-0.18568746717975754
Bangladesh,26.24968611111111,25.2451589275843,23.31,1.004527183526811,Bangladesh,148.33055185486,0.97490323186883,0.23623134143157,-1.0853687008733122,-0.6478765274587212
Brazil,23.901945601851853,22.192180333333333,17.063235851388086,1.7097652685185203,Brazil,1110.0270883422,5.6404961918321,0.31727071827469,0.24730009189059876,-0.09092538511939627
Canada,6.808932638888889,4.730573665577342,45.005,2.0783589733115466,Canada,741.34005452078,21.696466488944,0.41478275670305,3.3035005577764864,-0.25214072495652906
Chile,6.481366666666667,5.226474978539303,32.95,1.2548916881273637,Chile,101.60410261281,5.9790331915168,0.24520648165067,0.12083557016643302,-0.7132347754257877
China,12.736630381944446,11.555725116627507,35.97399662394141,1.1809052653169392,China,11062.044556854,8.1352919315572,0.78934454892737,1.7019399978964695,4.015833039420763
Colombia,21.61121111111111,20.451229166666668,4.02,1.1599819444444428,Colombia,173.79823254232,3.7849613233631,0.27651008786489,-1.3849603344523467,-0.4582726133438212
Congo (Democratic Republic Of The),24.489612500000003,23.331891873886196,4.02,1.1577206261138073,Democratic Republic of the Congo,28.802807429307,0.44639389847245,0.40736221363904,-1.7399858487411206,-0.19017739012835363
Dominican Republic,26.79066111111111,25.627857979302835,18.48,1.1628031318082748,Dominican Republic,33.534093098554,3.3879699917412,0.22803445823136,-0.8404813881312214,-0.6827330203767804
Egypt,22.36907175925926,20.681226034858387,30.30851125827815,1.6878457244008729,Egypt,301.70433053404,3.5871232865287,0.25763482590478,0.4673248541909032,-0.5394904043190267
Ethiopia,18.447668055555553,17.153143598391075,8.84,1.2945244571644778,Ethiopia,126.80176958514,1.4458137501484,1.0140010073735,-1.377200772426354,1.1463926959267543
Germany,9.87845138888889,8.606880991285403,52.24,1.2715703976034867,Germany,939.30620305091,11.611453431505,0.2093522324115,1.556916976501455,-0.6686918404549327
India,26.655845337301585,25.633231323535846,21.739663268547663,1.0226140137657396,India,2722.6207018817,2.2117505579958,0.43277168995369,-0.7031146606311078,0.6221913288133463
Indonesia,27.335967361111113,26.171132333333336,6.430000000000001,1.1648350277777766,Indonesia,722.93817123822,2.980893318757,0.33171966298659,-1.2906091397577126,-0.16317282191082233
Iran,14.17641388888889,12.205595860566449,36.17,1.9708180283224408,Iran,767.59970028748,10.294024880645,0.67276475273063,1.7000997494522057,0.45778204896091723
Iraq,24.256518055555556,22.330431236383443,32.95,1.926086819172113,Iraq,210.53417542787,6.8438133005565,0.57388441002155,1.1380739932726551,0.10308221163576933
Japan,14.505244444444445,13.275243510928963,35.36301234567902,1.2300009335154822,Japan,1313.1601674668,10.215011573318,0.25080737983615,0.7285492272661777,-0.358326377202198
Kenya,16.907268055555555,15.670608628573197,0.8,1.2366594269823583,Kenya,78.737635252082,1.9041657656908,0.44943268400563,-1.623585004580014,-0.06971081058766732
Mexico,16.36305972222222,15.392092864923747,20.09,0.9709668572984747,Mexico,665.57250484256,5.6731859702397,0.29203151844884,-0.7828830774652465,-0.3856286114678426
Morocco,18.36913611111111,16.99120969498911,32.95,1.3779264161220013,Morocco,80.737093770744,2.4911474924326,0.34057351201304,-0.03592237938179503,-0.467473778595943
Nigeria,27.30224490740741,25.726277331811296,8.284311538461537,1.5759675755961133,Nigeria,309.51953260921,1.9518440931857,0.346557665586,-0.7562899440584101,-0.2231706716983554
Pakistan,25.769431481481483,24.454772393538914,29.047485362095536,1.3146590879425695,Pakistan,369.14623248631,2.1643189052903,0.43813576985531,-0.30033730696259814,-0.1431876834549741
Peru,17.230091666666667,16.1610792203523,12.049999999999999,1.0690124463143675,Peru,75.801949521384,2.5806148897835,0.21611462004293,-1.3044080991906097,-0.6635017773544934
Philippines,27.095518055555555,26.021135382513663,15.27,1.0743826730418924,Philippines,156.64380068428,1.6712843598752,0.25920389524894,-1.2473499569034572,-0.5512941187360251
Russia,5.580462499999999,3.626414283769063,57.86,1.9540482162309365,Russia,2191.192778844,15.306542459891,0.46392951067454,3.2472060715700857,0.3055358294774584
Saudi Arabia,27.80059375,25.97758792892157,23.376804979253112,1.8230058210784321,Saudi Arabia,603.27070233383,21.996547119447,0.45817013267133,2.0476127598024,-0.1175921260627907
Senegal,25.480048611111112,24.276425032808397,15.27,1.2036235783027145,Senegal,19.500865254269,1.5097989543572,0.45345075182846,-1.1328559319224256,-0.15691101568260085
Singapore,27.348484722222224,26.08535059931507,0.8,1.2631341229071538,Singapore,58.050944760808,11.440300489887,0.11979010938987,-0.6493191506208393,-0.8792396589425133
Somalia,28.083136111111113,26.763843114742887,2.41,1.319292996368226,Somalia,30.251155878766,2.5098028638673,2.4798398780653,-1.854087839665139,4.342651062252402
South Africa,18.846644444444443,17.804790083588838,31.345,1.0418543608556057,South Africa,581.50665009309,11.272851254211,0.78332076167969,0.1590881896902403,0.5571133056414087
South Korea,11.507077777777777,10.277607979302834,37.78,1.229469798474943,South Korea,682.95495607095,13.782340813247,0.3664357142318,1.0350379381516042,-0.3568748668928469
Syria,18.742633333333334,17.14005582788671,36.17,1.6025775054466251,Syria,88.786442218994,4.224144204336,0.41367249809063,0.5697106016201444,-0.31417955198366343
Taiwan,22.94355138888889,21.83406983087834,24.92,1.1094815580105468,Taiwan,313.73755013008,13.580301185872,0.29020251665143,0.28551466866187475,-0.5867726037094319
Tanzania,26.532534722222223,25.384439829768997,7.23,1.1480948924532264,Tanzania,52.924342814063,1.1480683320982,0.45865774883492,-1.569708940025615,-0.09461701213761324
Thailand,27.964948611111115,26.827841514143095,13.66,1.1371070969680197,Thailand,373.95030959646,5.5640081298351,0.32592252639628,-0.8527509121834579,-0.35441589412306435
Ukraine,8.779769444444444,6.760509395424836,50.63,2.019260049019608,Ukraine,414.19987045953,9.0451464859865,0.53033959253759,2.227976131502603,-0.029044323959262007
United Kingdom,10.245097222222222,9.24173720043573,52.24,1.0033600217864915,United Kingdom,622.72414088149,9.8366074557787,0.21102922667405,0.9533182327625016,-0.7808800910844942
Zimbabwe,20.75032638888889,19.738088066100566,18.48,1.012238322788324,Zimbabwe,25.989584028972,1.8450255942989,0.7590588449619,-1.3272977429062236,0.47231081421950405
