Country,GDP_2010
Aruba,0.14626565284114
Afghanistan,0.34465244909469
Angola,0.31804857729652
Anguilla,0.064637405774747
Albania,0.2342528620203
Curaçao,0.90474714136905
United Arab Emirates,0.44365969225898
Argentina,0.29118499734935
Armenia,0.22248897139957
Antigua and Barbuda,0.15765069404516
Australia,0.51676929626027
Austria,0.17818516411779
Azerbaijan,0.24657589754312
Burundi,0.49104599978939
Belgium,0.22917743338508
Benin,0.43121079431955
Burkina Faso,0.80238009513467
Bangladesh,0.23623134143157
Bulgaria,0.38380427861314
Bahrain,0.77527424828585
Bahamas,0.1325022737805
Bosnia and Herzegovina,0.61402590820036
Belarus,0.43262377671217
Belize,0.20283308453891
Bermuda,0.050187147318288
Bolivia,0.54243837386427
Brazil,0.31727071827469
Barbados,0.19270933685688
Brunei,0.2871229215914
Bhutan,0.28665686136263
Botswana,0.36017906145124
Central African Republic,1.6432609564446
Canada,0.41478275670305
Switzerland and Liechtenstein,0.094847475413855
Chile,0.24520648165067
China,0.78934454892737
Côte d’Ivoire,0.20314393715953
Cameroon,0.36177032688956
Democratic Republic of the Congo,0.40736221363904
Congo,0.5744779005259
Cook Islands,
Colombia,0.27651008786489
Comoros,0.30805178078382
Cabo Verde,0.26513085531873
Costa Rica,0.16592619377851
Cuba,0.16692569251552
Cayman Islands,0.066282299692606
Cyprus,0.26783563977995
Czechia,0.35423907581903
Germany,0.2093522324115
Djibouti,0.58991466217391
Dominica,0.11645374851339
Denmark,0.19062105830706
Dominican Republic,0.22803445823136
Algeria,0.34071557921881
Ecuador,0.37552134256874
Egypt,0.25763482590478
Eritrea,1.0975385850346
Western Sahara,
Spain and Andorra,0.18515745607624
Estonia,0.66149141139231
Ethiopia,1.0140010073735
Finland,0.28627266395219
Fiji,0.33194317273425
Falkland Islands,
France and Monaco,0.15988814945938
Faroes,
Gabon,0.65909753233397
United Kingdom,0.21102922667405
Georgia,0.2850155332539
Ghana,0.21391069065126
Gibraltar,0.47789717277491
Guinea,0.6152831840314
Guadeloupe,
The Gambia,0.3453963120474
Guinea-Bissau,0.80716167621796
Equatorial Guinea,0.37444569350838
Greece,0.26519123324527
Grenada,0.11376153657734
Greenland,0.20241296987376
Guatemala,0.19802054934317
French Guiana,
Guyana,0.47560016372061
Hong Kong,0.11905323470422
Honduras,0.39572609070663
Croatia,0.22575032089613
Haiti,0.37942105985861
Hungary,0.25185238325005
Indonesia,0.33171966298659
India,0.43277168995369
Ireland,0.25964988357047
Iran,0.67276475273063
Iraq,0.57388441002155
Iceland,0.28801358425597
"Israel and Palestine, State of",0.27170220144783
"Italy, San Marino and the Holy See",0.17129228175962
Jamaica,0.33821061142919
Jordan,0.32711348678249
Japan,0.25080737983615
Kazakhstan,0.68461423935049
Kenya,0.44943268400563
Kyrgyzstan,0.53854560740708
Cambodia,0.57549835116645
Kiribati,0.37573472557044
Saint Kitts and Nevis,0.12413472474237
South Korea,0.3664357142318
Kuwait,0.6838074950335
Laos,0.44159331941802
