Country,TOTALS_2010
Aruba,0.5289147747881
Afghanistan,27.768531219617
Angola,71.664962622102
Anguilla,0.027190600881657
International Aviation,475.33423488585
Albania,8.0714879880719
Curaçao,4.4403869372282
United Arab Emirates,209.69325990118
Argentina,337.31050946061
Armenia,7.0714426791935
Antigua and Barbuda,0.34738744250501
Australia,598.75253711609
Austria,89.121049972085
Azerbaijan,44.48502821178
Burundi,4.3631004268381
Belgium,140.49500561619
Benin,11.548751093892
Burkina Faso,24.323587397167
Bangladesh,148.33055185486
Bulgaria,61.639710296362
Bahrain,48.294225450841
Bahamas,1.5927715968166
Bosnia and Herzegovina,28.409020352206
Belarus,98.522142268855
Belize,0.77092961121977
Bermuda,0.33890710916938
Bolivia,41.820609205103
Brazil,1110.0270883422
Barbados,1.0212373111947
Brunei,9.9790501373019
Bhutan,2.0083165869506
Botswana,10.65108545623
Central African Republic,10.922752712108
Canada,741.34005452078
Switzerland and Liechtenstein,55.136216487828
Chile,101.60410261281
China,11062.044556854
ivory coast,19.820327157725
Cameroon,30.500421389757
Democratic Republic of the Congo,28.802807429307
Republic of the Congo,22.004105352944
Cook Islands,0.096504600218452
Colombia,173.79823254232
Comoros,0.53504216764884
Cabo Verde,0.95586417948247
Costa Rica,14.106786414905
Cuba,44.540775216467
Cayman Islands,0.27345009640092
Cyprus,9.3535098851227
Czechia,145.06872256391
Germany,939.30620305091
Djibouti,2.0146250737883
Dominica,0.14046517246614
Denmark,63.129205606312
Dominican Republic,33.534093098554
Algeria,178.73936187176
Ecuador,66.046757041885
Egypt,301.70433053404
Eritrea,5.5367005727963
Western Sahara,0.62208243245747
Spain,369.07975209771
Estonia,26.756682191155
Ethiopia,126.80176958514
Finland,82.938131233895
Fiji,3.0726480037224
Falkland Islands,0.16400366507298
France,510.80510358267
Faroes,0.091169053906753
Gabon,21.005668170401
United Kingdom,622.72414088149
Georgia,12.189638117516
Ghana,24.49869063993
Gibraltar,0.4945004770559
Guinea,16.597929052953
Guadeloupe,1.2969890220666
The Gambia,1.8793748019109
Guinea-Bissau,2.7030972485155
Equatorial Guinea,14.990990674043
Greece,110.79493983856
Grenada,0.16963369357126
Greenland,0.70791483447507
Guatemala,28.210770374138
French Guiana,0.46276516094263
Guyana,3.6968769397581
Hong Kong,47.127416782817
Honduras,17.864216362566
Croatia,27.834608486704
Haiti,11.884969183405
Hungary,70.01974209813
Indonesia,722.93817123822
India,2722.6207018817
Ireland,70.196988731069
Iran,767.59970028748
Iraq,210.53417542787
Iceland,5.0003567434968
"Israel and Palestine, State of",83.724466538497
Italy,505.56623018924
Jamaica,8.9743761032041
Jordan,26.145669098829
Japan,1313.1601674668
Kazakhstan,304.01540117296
Kenya,78.737635252082
Kyrgyzstan,14.35762694506
Cambodia,30.973314589945
Kiribati,0.08657430289508
Saint Kitts and Nevis,0.14536623592477
South Korea,682.95495607095
Kuwait,126.71196414369
Laos,13.834938813387
Lebanon,24.899021125365
Liberia,3.3957640952251
Libya,106.05911939026
Saint Lucia,0.28897602893125
Sri Lanka,26.548778737308
Lesotho,2.8069168738162
Lithuania,24.22460463914
Luxembourg,12.204720806652
Latvia,13.228634545332
Macao,1.7977140105233
Morocco,80.737093770744
Moldova,11.505795880023
Madagascar,29.016317533224
Maldives,1.1737676741079
Mexico,665.57250484256
North Macedonia,11.735306674183
Mali,25.514510246494
Malta,2.9494107058732
Myanmar,111.66662050712
Mongolia,42.455139014447
Mozambique,14.312256661537
Mauritania,11.497372879859
Martinique,1.1336514795113
Mauritius,4.9832001462759
Malawi,11.461847050657
Malaysia,250.79028038268
Namibia,9.4609966699273
New Caledonia,3.8179335677937
Niger,23.318825559871
Nigeria,309.51953260921
Nicaragua,14.202194264252
Netherlands,219.86846579563
Norway,63.387754625146
Nepal,34.455919875971
New Zealand,84.793662595463
Oman,76.420398653926
Pakistan,369.14623248631
Panama,14.84508442394
Peru,75.801949521384
Philippines,156.64380068428
Palau,2.2049445865214
Papua New Guinea,7.5293708428612
Poland,414.17336465925
Puerto Rico,16.145403068032
North Korea,97.143788643865
Portugal,69.518997512603
Paraguay,36.453676067323
French Polynesia,1.0885753612027
Qatar,93.74259335365
Réunion,2.9594223565437
Romania,116.51313520098
Russia,2191.192778844
Rwanda,5.8254477458345
Saudi Arabia,603.27070233383
Serbia and Montenegro,72.936257714695
Sudan,124.9455856551
South Sudan,124.9455856551
International Shipping,701.24127662253
Senegal,19.500865254269
Singapore,58.050944760808
"Saint Helena, Ascension and Tristan da Cunha",0.014681747818421
Solomon Islands,0.57261545767475
Sierra Leone,5.4571651206837
El Salvador,11.758208856525
Somalia,30.251155878766
Saint Pierre and Miquelon,0.042468832365636
São Tomé and Príncipe,0.19842957694514
Surinam,2.8783019374719
Slovakia,49.101357904735
Slovenia,22.003910730577
Sweden,69.186566963749
Eswatini,2.7881695812538
Seychelles,0.99078476904366
Syria,88.786442218994
Turks and Caicos Islands,0.083972273333362
Chad,46.629770873025
Togo,7.2961286208583
Thailand,373.95030959646
Tajikistan,11.887497464394
Turkmenistan,88.856683388153
Timor-Leste,2.0811302155222
Tonga,0.23781544165453
Trinidad and Tobago,48.074418696382
Tunisia,40.141590424703
Turkey,394.85122395214
Taiwan,313.73755013008
Tanzania,52.924342814063
Uganda,35.832401208548
Ukraine,414.19987045953
Uruguay,38.463701072647
United States of America,6754.1863885023
Uzbekistan,192.44408244687
Saint Vincent and the Grenadines,0.15153533598806
Venezuela,260.96711984591
British Virgin Islands,0.084498492412033
Vietnam,292.74041444963
Vanuatu,0.67076647466341
