Country,CAPITA_2010
Aruba,5.2023210102205
Afghanistan,0.96407799191496
Angola,3.0666547968429
Anguilla,1.9747694735752
Albania,2.7449092469969
Curaçao,30.08229186242
United Arab Emirates,25.353811282891
Argentina,8.1824017010801
Armenia,2.4576575618176
Antigua and Barbuda,3.6698053317101
Australia,27.068256336127
Austria,10.597096293329
Azerbaijan,4.9250180141157
Burundi,0.49767711466136
Belgium,12.843848497976
Benin,1.2554000097717
Burkina Faso,1.5586847585452
Bangladesh,0.97490323186883
Bulgaria,8.3245271239004
Bahrain,38.919963140497
Bahamas,4.414163923423
Bosnia and Herzegovina,7.6325657568364
Belarus,10.400233743534
Belize,2.3971095595252
Bermuda,5.2990666891204
Bolivia,4.2165353132313
Brazil,5.6404961918321
Barbados,3.6528989666048
Brunei,25.675394397451
Bhutan,2.7600376929703
Botswana,5.2862395384678
Central African Republic,2.4553677879628
Canada,21.696466488944
Switzerland and Liechtenstein,7.0398911752507
Chile,5.9790331915168
China,8.1352919315572
Côte d’Ivoire,0.97152275392589
Cameroon,1.5272737981875
Democratic Republic of the Congo,0.44639389847245
Congo,5.0161067577021
Cook Islands,5.2038069678324
Colombia,3.7849613233631
Comoros,0.77576971698793
Cabo Verde,1.9026564928072
Costa Rica,3.1036121899871
Cuba,3.9301493162918
Cayman Islands,4.9264074152975
Cyprus,8.4068180989949
Czechia,13.768469250488
Germany,11.611453431505
Djibouti,2.366955932106
Dominica,1.9661978228744
Denmark,11.364720785582
Dominican Republic,3.3879699917412
Algeria,4.9488161414867
Ecuador,4.4223691833036
Egypt,3.5871232865287
Eritrea,1.2609661415119
Western Sahara,1.2952656867902
Spain and Andorra,7.8882409838658
Estonia,20.086091277798
Ethiopia,1.4458137501484
Finland,15.456863909387
Fiji,3.5730542516686
Falkland Islands,57.504791400063
France and Monaco,8.1045827178429
Faroes,1.8778383914882
Gabon,12.806694368648
United Kingdom,9.8366074557787
Georgia,2.8805806982403
Ghana,0.99945294935684
Gibraltar,14.899529273431
Guinea,1.5376710689957
Guadeloupe,2.8776064458632
The Gambia,1.1106431474224
Guinea-Bissau,1.7373430139314
Equatorial Guinea,15.761673459519
Greece,9.6797955476638
Grenada,1.6205440886848
Greenland,12.498937718053
Guatemala,1.9282296023443
French Guiana,1.9761003708355
Guyana,4.9519084164591
Hong Kong,6.7083189968167
Honduras,2.1799506957559
Croatia,6.4310637308559
Haiti,1.1885420829397
Hungary,7.052867703159
Indonesia,2.980893318757
India,2.2117505579958
Ireland,15.171396310527
Iran,10.294024880645
Iraq,6.8438133005565
Iceland,15.61011445611
"Israel and Palestine, State of",7.2849570129108
"Italy, San Marino and the Holy See",8.4642210452611
Jamaica,3.1855545391377
Jordan,3.6402463662971
Japan,10.215011573318
Kazakhstan,18.53865486755
Kenya,1.9041657656908
Kyrgyzstan,2.6478654870517
Cambodia,2.1646491005902
Kiribati,0.84337667941278
Saint Kitts and Nevis,2.8256630561721
South Korea,13.782340813247
Kuwait,42.264370578401
Laos,2.2149120696651
Lebanon,5.7408848051118
Liberia,0.86009647508817
Libya,17.191880779211
Saint Lucia,1.674446801085
Sri Lanka,1.3144000882528
Lesotho,1.3755687798957
Lithuania,7.7548513474422
Luxembourg,24.030291671313
Latvia,6.2433086552059
Macao,3.3478916111046
Morocco,2.4911474924326
Moldova,2.8169548828792
Madagascar,1.3718261278752
Maldives,3.2201159199803
Mexico,5.6731859702397
North Macedonia,5.6672043200094
Mali,1.6924935984832
Malta,7.0880553360246
Myanmar/Burma,2.226390524487
Mongolia,15.650798670837
Mozambique,0.5908930393011
Mauritania,3.1852737135088
Martinique,2.8706578195319
Mauritius,3.9931088154781
Malawi,0.75570458775403
Malaysia,8.9210160813124
Namibia,4.3535465103638
New Caledonia,15.208648795969
Niger,1.4196635472245
Nigeria,1.9518440931857
Nicaragua,2.4752330654427
Netherlands,13.179271335085
Norway,12.973661781531
Nepal,1.2750543009896
New Zealand,19.403317709959
Oman,25.126221832254
Pakistan,2.1643189052903
Panama,4.0747153408084
Peru,2.5806148897835
Philippines,1.6712843598752
Palau,107.71590554575
Papua New Guinea,1.059245445096
Poland,10.807323062652
Puerto Rico,4.3440273654516
North Korea,3.9502833756106
Portugal,6.5261959870266
Paraguay,5.8702706118835
French Polynesia,4.0645783033482
Qatar,52.67384774523
Réunion,3.5633409428847
Romania,5.7001675709741
Russia,15.306542459891
Rwanda,0.56851385269884
Saudi Arabia,21.996547119447
Serbia and Montenegro,7.5550298026409
Sudan and South Sudan,2.829820061139
Senegal,1.5097989543572
Singapore,11.440300489887
"Saint Helena, Ascension and Tristan da Cunha",3.514902518176
Solomon Islands,1.0849304793095
Sierra Leone,0.84492981901734
El Salvador,1.9073665177837
